strategy_id,win_rate,total_return,sharpe_ratio,max_drawdown,num_trades
strategy_017,0.6236933797909407,0.08518036998942861,2.5429103197983856,0.015715207113927834,287
strategy_077,0.6073825503355704,0.06992096385055656,2.0404011247626292,0.02706383060478177,298
strategy_069,0.572289156626506,0.05714292467076446,1.4774122443891915,0.024981590279552695,332
strategy_057,0.5691318327974276,0.06578989971756334,1.8321310575527525,0.025555302553694405,311
strategy_045,0.5676470588235294,0.07032835142705068,1.7466619092326205,0.02216800570277781,340
strategy_081,0.5641025641025641,0.05812760764132125,1.6791953447030972,0.02113159892171091,312
strategy_009,0.5636363636363636,0.06860031342185881,1.897694036783107,0.02062703878459839,330
strategy_089,0.556923076923077,0.03272350471930835,0.8438672520686206,0.031784461183782586,325
strategy_093,0.5536912751677853,0.044544854164420514,1.2190588120351966,0.025922519830388662,298
strategy_021,0.551829268292683,0.03332346256520759,0.8766561484033131,0.027151218503816098,328
strategy_025,0.5451713395638629,0.04804029752436872,1.2641035659201267,0.03320348340826434,321
strategy_085,0.5426829268292683,0.044545629370008534,1.1697465052217648,0.026832504118747103,328
strategy_037,0.5419161676646707,0.04199342013976882,1.0694241450949693,0.02902515205459214,334
strategy_033,0.5358255451713395,0.015032597192648139,0.40585796752012604,0.02406986291654144,321
strategy_061,0.5317220543806647,0.014568906258297303,0.3737468919721512,0.028186818230056858,331
strategy_022,0.525096525096525,0.03127872830251902,0.9869591705357823,0.022125728533897968,259
strategy_054,0.5232558139534884,0.026083198857054075,0.863226082202987,0.020858750877325673,258
strategy_098,0.5219123505976095,0.02942892048968069,1.050135049237416,0.02281592993126776,251
strategy_086,0.5201465201465202,0.018404608736927303,0.5735546379258609,0.031074657861741524,273
strategy_026,0.5175097276264592,0.010217434109954038,0.34654546078502674,0.027596046995935496,257
strategy_053,0.5135869565217391,0.012714695751047136,0.3019350291425006,0.03478956936510755,368
strategy_062,0.512,0.0070380145129756745,0.23378559220527795,0.021989258023131994,250
strategy_010,0.5099601593625498,0.011860400132431913,0.3662651714367098,0.03228930895811854,251
strategy_058,0.5078125,0.02922631204191438,1.0234468062509028,0.02153739283089601,256
strategy_046,0.5076923076923077,0.024769859786004086,0.8467044120127706,0.023658822252653585,260
strategy_082,0.5060240963855421,0.03931607773076419,1.308404130566203,0.02249012973910241,249
strategy_050,0.5059760956175299,0.021075729745232547,0.7255033002302349,0.018916848965819372,251
strategy_001,0.5055555555555555,-0.010395867425588127,-0.25294166852059324,0.03955883051444894,360
strategy_065,0.5038759689922481,0.009368708233080851,0.21117106389965845,0.02999358968523,387
strategy_006,0.5020746887966805,0.009533175455388046,0.3555653866620184,0.020483684510991394,241
strategy_078,0.5,0.0023841142273353924,0.08398306161367776,0.026580392611396553,240
strategy_014,0.5,0.008812259904088137,0.2979751886795554,0.022552902535375778,244
strategy_002,0.4978723404255319,0.023017987971754694,0.7932305928976371,0.01832238050752439,235
strategy_041,0.49728260869565216,-0.014735458820811094,-0.3606331502639716,0.04338676179232481,368
strategy_073,0.4946524064171123,-0.015714640072465553,-0.3911310069094381,0.039280295139141705,374
strategy_042,0.4942528735632184,-5.422537390909377e-05,-0.0017636132362443685,0.028968462224531474,261
strategy_018,0.4940239043824701,-0.00958878819638014,-0.31670904663996907,0.028493882343697523,251
strategy_008,0.4928909952606635,0.0017521538585221089,0.03612084862855468,0.036238539762195314,422
strategy_097,0.49262536873156343,-0.01573610607261418,-0.40498540325360555,0.034121003418126745,339
strategy_068,0.49175824175824173,-0.015056061271747237,-0.3500710253352005,0.03670940359426598,364
strategy_044,0.4909560723514212,-0.0026131779259841066,-0.05926174801837161,0.032355037267849385,387
strategy_038,0.4896265560165975,0.026970690623530316,0.9777454100755185,0.018815040048469112,241
strategy_072,0.4895287958115183,-0.01044296902503426,-0.2402309952223701,0.03455316067520966,382
strategy_090,0.48846153846153845,0.008636210085844113,0.29284938979414554,0.023566193622301272,260
strategy_094,0.4867924528301887,0.018319616664092504,0.5844014926359324,0.02836335867990327,265
strategy_036,0.48641304347826086,-0.024174049434664224,-0.5868866044891258,0.04575102283014784,368
strategy_049,0.4861878453038674,-0.004587108047913256,-0.11065641001058855,0.03423068302915971,362
strategy_074,0.4859437751004016,-0.007773176632991836,-0.2622074657893329,0.019468074806240174,249
strategy_000,0.48578811369509045,-0.0060266125420107095,-0.13705044016044393,0.03641774548544219,387
strategy_066,0.4844961240310077,-0.017285269838904393,-0.5732579642259524,0.03889211060430886,258
strategy_070,0.48412698412698413,0.017922545601334525,0.6028958152974118,0.02072172931774968,252
strategy_029,0.4830287206266319,-0.017515327758918776,-0.3861592606062574,0.036245011279475346,383
strategy_028,0.4801864801864802,-0.024083004341915494,-0.5025082560016062,0.05064527598835364,429
strategy_034,0.4795539033457249,0.022835146267346226,0.7683279923442532,0.015709330979112437,269
strategy_032,0.47883597883597884,-0.03555606010205617,-0.7920180195104678,0.04616240118716466,378
strategy_092,0.47815533980582525,-0.03831164091063154,-0.7984087991900662,0.041381524774879504,412
strategy_016,0.4775,-0.045944429346206406,-1.0105851220609285,0.054276336301492235,400
strategy_088,0.47668393782383417,-0.02886763832206429,-0.636299414464658,0.04277668807662136,386
strategy_020,0.47645429362880887,-0.040574893213114596,-0.9720331275752359,0.0537779072294975,361
strategy_030,0.47435897435897434,0.0049945545545118835,0.18744711753499022,0.02325459013738126,234
strategy_056,0.4738095238095238,-0.03100228112169188,-0.6411168844186591,0.05165736812828799,420
